coarse_type,fine_type,name
politics,political party,127
politics,politician,240
politics,president,13
politics,prince,1
politics,queen,1
politics,terrorist,1
politics,treaty,3
product,aircraft carrier,1
product,bomber,2
product,cigarette,2
product,equipment unit,6
product,film,1
product,instrument,8
product,machine or equipment,93
product,material,325
product,missile,3
product,robot,1
product,software,2
product,space shuttle,1
product,spacecraft,1
product,vehicle,534
product,warship,7
product,work of art,14
restaurant information,price,22
restaurant information,restaurant name,61
science,astronomer,13
science,astronomical object,52
science,award,1
science,cardinal,207
science,chemical,861
science,chemical compound,1
science,chemist,3
science,concept,1
science,concept or principle,697
science,discipline,8
science,engineering feature,54
science,geographer,1
science,geographical phenomenon,1
science,lichenologist,1
science,linguist,6
science,machanical property,129
science,manufacturing process,293
science,mathematician,26
science,mycologist,1
science,ordinal,54
science,percent,50
science,philosopher,67
science,physicist,12
science,process characterization,63
science,process parameter,92
science,psychiatrist,1
science,psychologist,17
science,quantity,16
science,research institution,16
science,researcher,32
science,scientist,39
science,standard,2
science,technology,44
time,concept,3
time,date,334
time,hours,30
time,month,3
time,period,48
time,specific time,30
time,year,73
vehicle information,brand of vehicle,486
vehicle information,color of vehicle,552
vehicle information,orientation of vehicle,163
vehicle information,position of vehicle,313
vehicle information,vehicle model,504
vehicle information,vehicle range,7
vehicle information,vehicle velocity,209
事件,活动,27
产品,军舰,2
产品,电影,174
产品,航天器,4
产品,船,4
产品,软件,362
产品,邮票,1
人,专家,7
人,主任,23
人,主席,6
人,主持人,20
人,书法家,16
人,书记,19
人,企业家,285
人,会长,2
人,作家,134
人,党员,2
人,兽医,1
人,军官,15
人,农民,11
人,分析师,28
人,医生,17
人,厂长,5
人,厨师,1
人,发言人,1
人,名人,90
人,团长,2
人,国君,1
人,委员,3
人,学生,123
人,学者,2
人,官员,150
人,导演,42
人,工人,2
人,工程师,24
人,平民,254
人,建筑师,1
人,律师,5
人,心理学家,2
人,思想家,179
人,总监,11
人,战士,45
人,执行官,1
人,护理人员,1
人,探险家,1
人,摄影师,2
人,收藏家,9
人,政治家,1131
人,教师,10
人,教授,23
人,教练,68
人,教育家,1
人,服务员,2
人,校长,1
人,模特,1
人,法官,1
人,演员,96
人,画家,38
人,研究者,208
人,科学家,16
人,秘书长,1
人,管理者,25
人,经济学家,8
人,经理,25
人,编剧,1
人,罪犯,3
人,职工,5
人,艺术家,90
人,董事长,7
人,记者,170
人,设计师,3
人,证人,1
人,评论员,5
人,诗人,12
人,贵族,6
人,运动员,576
人,通讯员,1
人,部长,1
人,间谍,2
人,队长,3
人,院长,22
人,雕塑家,2
人,革命家,38
人,音乐家,24
人,顾问,1
人,馆长,1
位置,乡镇,12
位置,区,138
位置,区域,148
位置,国家,2920
位置,地区,55
位置,地址,405
位置,城市,1369
位置,小区,1
位置,山,28
位置,山脉,3
位置,岛,30
位置,州,20
位置,景点,452
位置,村庄,114
位置,极点,1
位置,沙漠,1
位置,河,89
位置,洲,319
位置,海,17
位置,海洋,3
位置,湖,26
位置,省,452
位置,设施,183
位置,道路,14
政治,书记,19
政治,党员,2
政治,官员,141
政治,政府,985
政治,政治团体,658
政治,政治家,1131
政治,法官,1
政治,革命家,38
文学,书,80
文学,书法家,16
文学,作家,134
文学,杂志,1
文学,漫画,1
文学,画,12
文学,画家,38
文学,神话,1
文学,角色,38
文学,诗,2
生物,动物,1
科学,专业,13
科学,天体,54
科学,奖项,3
科学,学历,229
科学,星系,5
科学,研究机构,98
科学,研究者,208
科学,科学家,16
组织机构,乐队,4
组织机构,俱乐部,27
组织机构,公司,1091
组织机构,军队,61
组织机构,出版社,21
组织机构,协会,179
组织机构,团队,1016
组织机构,大学,157
组织机构,媒体,279
组织机构,学校,91
组织机构,学院,51
组织机构,工会,1
组织机构,政府,985
组织机构,政治团体,658
组织机构,杂志社,19
组织机构,民族,92
组织机构,研究机构,98
组织机构,联盟,69
组织机构,银行,98
组织机构,非盈利组织,154
职位,概念,1908
